accuracy,loss,val_accuracy,val_loss,learning_rate
0.8972999453544617,0.29223060607910156,0.8142243027687073,0.7399833798408508,0.0010000000474974513
0.9607265591621399,0.11970985680818558,0.8903438448905945,0.30727770924568176,0.0010000000474974513
0.9723122119903564,0.08432462811470032,0.9762095212936401,0.08210854977369308,0.0010000000474974513
0.9735885858535767,0.07778321206569672,0.97785884141922,0.07812008261680603,0.0010000000474974513
0.9803632497787476,0.05679360032081604,0.9649640321731567,0.11500796675682068,0.0010000000474974513
0.9802650809288025,0.05551496520638466,0.9428728222846985,0.18474484980106354,0.0010000000474974513
0.9852724671363831,0.04134314879775047,0.9262794852256775,0.2295256406068802,0.0010000000474974513
0.9887089133262634,0.03340890258550644,0.9606157541275024,0.13817919790744781,0.0010000000474974513
0.9899852871894836,0.026190776377916336,0.9718112945556641,0.0893038734793663,0.0010000000474974513
0.9966617822647095,0.010065315291285515,0.9709616303443909,0.10450880974531174,0.00020000000949949026
0.9992145299911499,0.003554027760401368,0.9712615013122559,0.10804712772369385,0.00020000000949949026
0.9992145299911499,0.0027016231324523687,0.9713114500045776,0.10816152393817902,0.00020000000949949026
1.0,0.0009985551005229354,0.9718112945556641,0.1109280064702034,0.00020000000949949026
0.9999018311500549,0.0011898193042725325,0.974760115146637,0.1049884632229805,0.00020000000949949026
0.9999018311500549,0.0009144902578555048,0.9725610017776489,0.11446694284677505,4.0000002627493814e-05
1.0,0.0007601756951771677,0.9717612862586975,0.11806225776672363,4.0000002627493814e-05
1.0,0.0005883296253159642,0.9728108644485474,0.11551429331302643,4.0000002627493814e-05
0.9999018311500549,0.0007486538379453123,0.9738104939460754,0.11327158659696579,4.0000002627493814e-05
0.9998036623001099,0.001283534336835146,0.975059986114502,0.10798963904380798,4.0000002627493814e-05
